,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
0," Los Olivos, Lima",261m²Superficie total,261m²Superficie techada,No hay informacion,1Medio baño,5Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"S/ 809,200",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-los-olivos-lima-5-a-mas-dormitorios-57829155,https://img10.naventcdn.com/avisos/111/00/57/82/91/55/720x532/203507619.jpg
1,"antigua carretera panamericana sur km 107,  Asia, Cañete",235m²Superficie total,235m²Superficie techada,No hay informacion,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 630,800",450,https://urbania.pe/inmueble/venta-de-casa-en-asia-canete-4-dormitorios-13386526,https://img10.naventcdn.com/avisos/111/00/13/38/65/26/720x532/199039824.jpg
2,"Playa Blanca,  Blanca, Asia",180m²Superficie total,225m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parque Interno ,No hay informacion,"S/ 1,925,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-blanca-asia-4-dormitorios-13218492,https://img10.naventcdn.com/avisos/111/00/13/21/84/92/720x532/195450147.jpg
3,"Calle Los Cibeles cuadra 1,  Ventura Rossi, Rímac",198m²Superficie total,150m²Superficie techada,0Estacionamientos,No hay informacion,5Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"S/ 298,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-ventura-rossi-rimac-5-a-mas-dormitorios-13437381,https://img10.naventcdn.com/avisos/111/00/13/43/73/81/720x532/200228001.jpg
4,"Urb. Casuarinas - Santiago de Surco,  Las Casuarinas, Santiago de Surco",1624m²Superficie total,656m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,44Antigüedad,Parques Cercanos ,No hay informacion,"S/ 9,296,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-las-casuarinas-santiago-de-surco-5-a-mas-dormitorios-12766948,https://img10.naventcdn.com/avisos/111/00/12/76/69/48/720x532/195308230.jpg
5," El Sol De La Molina, La Molina",1426m²Superficie total,750m²Superficie techada,10Estacionamientos,No hay informacion,9Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"S/ 6,825,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-sol-de-la-molina-la-molina-5-a-mas-dormitorios-58283752,https://img10.naventcdn.com/avisos/111/00/58/28/37/52/720x532/210803777.jpg
6,"Nueva Toledo 1ra. Etapa,  Cieneguilla, Lima",4971m²Superficie total,455m²Superficie techada,5Estacionamientos,1Medio baño,4Dormitorios,20Antigüedad,Parque Interno ,No hay informacion,"S/ 4,648,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-cieneguilla-lima-4-dormitorios-13374931,https://img10.naventcdn.com/avisos/111/00/13/37/49/31/720x532/198818863.jpg
7,"Calle Ivan Huerta,  Prolong. Benavides, Santiago de Surco",120m²Superficie total,120m²Superficie techada,2Estacionamientos,No hay informacion,3Dormitorios,15Antigüedad,Parque Interno ,No hay informacion,"S/ 1,182,195",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-prolong-benavides-santiago-de-surco-3-dormitorios-58346276,https://img10.naventcdn.com/avisos/111/00/58/34/62/76/720x532/211765673.jpg
8,"CALLE 16 N° 300,  Rímac, Lima",193m²Superficie total,140m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,50Antigüedad,Parques Cercanos ,No hay informacion,"S/ 564,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rimac-lima-4-dormitorios-13412540,https://img10.naventcdn.com/avisos/111/00/13/41/25/40/720x532/201401978.jpg
9,"Pasaje Independencia,  Miraflores, Lima",160m²Superficie total,270m²Superficie techada,No hay informacion,No hay informacion,4Dormitorios,30Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,925,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-miraflores-lima-4-dormitorios-13489992,https://img10.naventcdn.com/avisos/111/00/13/48/99/92/720x532/201271863.jpg
