,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
10,"LOS CEDROS CHORRILLOS,  La Encantada De Villa, Chorrillos",1301m²Superficie total,390m²Superficie techada,5Estacionamientos,No hay informacion,4Dormitorios,19Antigüedad,Parques Cercanos ,No hay informacion,"S/ 3,154,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-encantada-de-villa-chorrillos-4-dormitorios-13278629,https://img10.naventcdn.com/avisos/111/00/13/27/86/29/720x532/196821404.jpg
11,"manuel gomez 129 ,  Lince, Lima",155m²Superficie total,155m²Superficie techada,2Estacionamientos,No hay informacion,6Dormitorios,50Antigüedad,No hay informacion,No hay informacion,"S/ 825,000",1,https://urbania.pe/inmueble/venta-de-casa-en-lince-lima-5-a-mas-dormitorios-58169027,https://img10.naventcdn.com/avisos/111/00/58/16/90/27/720x532/209002188.jpg
12," Santiago de Surco, Lima",326m²Superficie total,300m²Superficie techada,3Estacionamientos,1Medio baño,4Dormitorios,24Antigüedad,No hay informacion,No hay informacion,"S/ 2,177,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-58072508,https://img10.naventcdn.com/avisos/111/00/58/07/25/08/720x532/207528680.jpg
13,"CALLE GUADALUPE 100,  Los Cedros De Villa, Chorrillos",287m²Superficie total,176m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,23Antigüedad,Parques Cercanos ,No hay informacion,"S/ 731,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-los-cedros-de-villa-chorrillos-4-dormitorios-58264011,https://img10.naventcdn.com/avisos/111/00/58/26/40/11/720x532/210527568.jpg
14,"ID 126153 Calle Winnipeg,  Rinconada Del Lago, La Molina",808m²Superficie total,260m²Superficie techada,2Estacionamientos,1Medio baño,3Dormitorios,25Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,665,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-del-lago-la-molina-3-dormitorios-13504955,https://img10.naventcdn.com/avisos/111/00/13/50/49/55/720x532/201577440.jpg
15," Las Brisas De Villa, Chorrillos",600m²Superficie total,523m²Superficie techada,2Estacionamientos,1Medio baño,5Dormitorios,19Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,138,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-las-brisas-de-villa-chorrillos-5-a-mas-dormitorios-13495947,https://img10.naventcdn.com/avisos/111/00/13/49/59/47/720x532/201371082.jpg
16," La Molina, Lima",1035m²Superficie total,535m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,12Antigüedad,No hay informacion,No hay informacion,"S/ 4,316,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-13473065,https://img10.naventcdn.com/avisos/111/00/13/47/30/65/720x532/200859332.jpg
17,"playa pulpos,  Pulpos, Lurín",220m²Superficie total,200m²Superficie techada,3Estacionamientos,No hay informacion,5Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 730,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pulpos-lurin-5-a-mas-dormitorios-12882142,https://img10.naventcdn.com/avisos/111/00/12/88/21/42/720x532/187320305.jpg
18," Santiago de Surco, Lima",1209m²Superficie total,500m²Superficie techada,4Estacionamientos,1Medio baño,4Dormitorios,25Antigüedad,No hay informacion,No hay informacion,"S/ 8,100,300",10,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-58069762,https://img10.naventcdn.com/avisos/111/00/58/06/97/62/720x532/207492132.jpg
19,"Urb. El golf de Huampani,  Chosica (Lurigancho), Lima",350m²Superficie total,350m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,4Antigüedad,No hay informacion,No hay informacion,"S/ 1,332,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-chosica-lurigancho-lima-5-a-mas-dormitorios-58049634,https://img10.naventcdn.com/avisos/111/00/58/04/96/34/720x532/207170490.jpg
20," San Antonio, Carabayllo",200m²Superficie total,120m²Superficie techada,0Estacionamientos,No hay informacion,7Dormitorios,8Antigüedad,No hay informacion,No hay informacion,"S/ 338,100",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-antonio-carabayllo-5-a-mas-dormitorios-58345931,https://img10.naventcdn.com/avisos/111/00/58/34/59/31/720x532/211781849.jpg
21,"Santa Ana 120,  Pueblo Libre, Lima",248m²Superficie total,191m²Superficie techada,2Estacionamientos,1Medio baño,6Dormitorios,40Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,461,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pueblo-libre-lima-5-a-mas-dormitorios-58240956,https://img10.naventcdn.com/avisos/111/00/58/24/09/56/720x532/210156163.jpg
22,"Santa Catalina,  Santa Catalina, La Victoria",300m²Superficie total,300m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,15Antigüedad,No hay informacion,No hay informacion,"S/ 1,653,360",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santa-catalina-la-victoria-5-a-mas-dormitorios-13491869,https://img10.naventcdn.com/avisos/111/00/13/49/18/69/720x532/201301931.jpg
23," Magdalena, Lima",142m²Superficie total,142m²Superficie techada,0Estacionamientos,1Medio baño,4Dormitorios,10Antigüedad,No hay informacion,No hay informacion,"S/ 540,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-magdalena-lima-4-dormitorios-58203695,https://img10.naventcdn.com/avisos/111/00/58/20/36/95/720x532/209548791.jpg
24," El Pinar, Comas",130m²Superficie total,90m²Superficie techada,2Estacionamientos,No hay informacion,3Dormitorios,7Antigüedad,No hay informacion,No hay informacion,"S/ 357,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-pinar-comas-3-dormitorios-58451531,https://img10.naventcdn.com/avisos/111/00/58/45/15/31/720x532/213940881.jpg
25," Jesús María, Lima",No hay informacion,1000m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,30Antigüedad,No hay informacion,No hay informacion,"S/ 12,933,300",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-jesus-maria-lima-5-a-mas-dormitorios-57847146,https://img10.naventcdn.com/avisos/111/00/57/84/71/46/720x532/203759750.jpg
26," El Sol De La Molina, La Molina",2500m²Superficie total,572m²Superficie techada,4Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 6,640,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-sol-de-la-molina-la-molina-4-dormitorios-13348881,https://img10.naventcdn.com/avisos/111/00/13/34/88/81/720x532/198401241.jpg
27," Santa Anita, Lima",200m²Superficie total,200m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,8Antigüedad,Parques Cercanos ,No hay informacion,"S/ 837,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santa-anita-lima-4-dormitorios-58244364,https://img10.naventcdn.com/avisos/111/00/58/24/43/64/720x532/210211197.jpg
28,"malecon norte ,punta negra,  Punta Roca, Punta Negra",350m²Superficie total,437m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,10Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,290,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-punta-roca-punta-negra-5-a-mas-dormitorios-13330755,https://img10.naventcdn.com/avisos/111/00/13/33/07/55/720x532/200266226.jpg
29,"Calle Vizcardo y Guzman AH 10 de octubre,  San Juan de Lurigancho, Lima",250m²Superficie total,90m²Superficie techada,No hay informacion,No hay informacion,7Dormitorios,25Antigüedad,No hay informacion,No hay informacion,"S/ 340,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-juan-de-lurigancho-lima-5-a-mas-dormitorios-58170486,https://img10.naventcdn.com/avisos/111/00/58/17/04/86/720x532/209025310.jpg
30,"JR RICARDO PALMA,  Villa María del Triunfo, Lima",No hay informacion,340m²Superficie techada,0Estacionamientos,No hay informacion,6Dormitorios,25Antigüedad,No hay informacion,No hay informacion,"S/ 753,750",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-villa-maria-del-triunfo-lima-5-a-mas-dormitorios-57988849,https://img10.naventcdn.com/avisos/111/00/57/98/88/49/720x532/206230628.jpg
31,"pedregal 295 san martin de porres,  California, San Martín de Porres",203m²Superficie total,421m²Superficie techada,0Estacionamientos,No hay informacion,9Dormitorios,41Antigüedad,No hay informacion,No hay informacion,"S/ 929,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-california-san-martin-de-porres-5-a-mas-dormitorios-13494419,https://img10.naventcdn.com/avisos/111/00/13/49/44/19/720x532/201346139.jpg
32," Maranga, San Miguel",330m²Superficie total,330m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,50Antigüedad,No hay informacion,No hay informacion,"S/ 1,190,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-maranga-san-miguel-5-a-mas-dormitorios-58249830,https://img10.naventcdn.com/avisos/111/00/58/24/98/30/720x532/211947665.jpg
33,"Sol de la Molina,  El Sol De La Molina, La Molina",379m²Superficie total,360m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 2,224,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-sol-de-la-molina-la-molina-4-dormitorios-13188786,https://img10.naventcdn.com/avisos/111/00/13/18/87/86/720x532/194779949.jpg
34," Las Lagunas De La Molina, La Molina",318m²Superficie total,380m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 1,826,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-las-lagunas-de-la-molina-la-molina-4-dormitorios-13098831,https://img10.naventcdn.com/avisos/111/00/13/09/88/31/720x532/192827826.jpg
35,"Esquina con Roussou xx,  Chacarilla, San Borja",378m²Superficie total,240m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,30Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,656,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-chacarilla-san-borja-4-dormitorios-13508487,https://img10.naventcdn.com/avisos/111/00/13/50/84/87/720x532/201659291.jpg
36," La Planicie, La Molina",1000m²Superficie total,432m²Superficie techada,4Estacionamientos,No hay informacion,6Dormitorios,18Antigüedad,No hay informacion,No hay informacion,"S/ 2,720,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-5-a-mas-dormitorios-58336191,https://img10.naventcdn.com/avisos/111/00/58/33/61/91/720x532/211599125.jpg
37,"Valle Hermoso,  Lima, Lima",No hay informacion,No hay informacion,No hay informacion,1Medio baño,3Dormitorios,45Antigüedad,No hay informacion,No hay informacion,"S/ 2,197,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-lima-3-dormitorios-58219732,https://img10.naventcdn.com/avisos/111/00/58/21/97/32/720x532/209808382.jpg
38,"Valle Riestra,  Orrantia, San Isidro",375m²Superficie total,180m²Superficie techada,2Estacionamientos,No hay informacion,3Dormitorios,50Antigüedad,Parques Cercanos ,No hay informacion,"S/ 4,332,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-orrantia-san-isidro-3-dormitorios-12689240,https://img10.naventcdn.com/avisos/111/00/12/68/92/40/720x532/182887365.jpg
39," Canto Rey, San Juan de Lurigancho",475m²Superficie total,475m²Superficie techada,0Estacionamientos,No hay informacion,0Dormitorios,20Antigüedad,Parques Cercanos ,No hay informacion,"S/ 940,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-canto-rey-san-juan-de-lurigancho-58224899,https://img10.naventcdn.com/avisos/111/00/58/22/48/99/720x532/209887313.jpg
40,"PASAJE ONEGA,  Rinconada Del Lago, La Molina",540m²Superficie total,540m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,34Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,010,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-del-lago-la-molina-4-dormitorios-13508380,https://img10.naventcdn.com/avisos/111/00/13/50/83/80/720x532/201656734.jpg
41,"Jr Morona 367,  Chacra Colorada, Breña",300m²Superficie total,300m²Superficie techada,5Estacionamientos,No hay informacion,7Dormitorios,60Antigüedad,No hay informacion,No hay informacion,"S/ 1,462,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-chacra-colorada-brena-5-a-mas-dormitorios-58453251,https://img10.naventcdn.com/avisos/111/00/58/45/32/51/720x532/213968946.jpg
42,"EL MEJOR CLIMA DE LIMA  SEGURIDA 24 HORAS,  Chosica (Lurigancho), Lima",192m²Superficie total,192m²Superficie techada,No hay informacion,No hay informacion,3Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 620,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-chosica-lurigancho-lima-3-dormitorios-58186572,https://img10.naventcdn.com/avisos/111/00/58/18/65/72/720x532/209281689.jpg
43,"CALLE 28 130,  San Borja, Lima",132m²Superficie total,39m²Superficie techada,No hay informacion,No hay informacion,3Dormitorios,18Antigüedad,No hay informacion,No hay informacion,"S/ 854,700",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-borja-lima-3-dormitorios-58195727,https://img10.naventcdn.com/avisos/111/00/58/19/57/27/720x532/209420740.jpg
44," La Jolla, Asia",600m²Superficie total,600m²Superficie techada,5Estacionamientos,No hay informacion,8Dormitorios,2Antigüedad,No hay informacion,No hay informacion,"S/ 2,822,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-jolla-asia-5-a-mas-dormitorios-13476890,https://img10.naventcdn.com/avisos/111/00/13/47/68/90/720x532/200944204.jpg
45,"Los Palmitos SJL,  San Juan de Lurigancho, Lima",428m²Superficie total,428m²Superficie techada,No hay informacion,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 1,560,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-juan-de-lurigancho-lima-4-dormitorios-13496930,https://img10.naventcdn.com/avisos/111/00/13/49/69/30/720x532/201393332.jpg
46," Lurín, Lima",120m²Superficie total,190m²Superficie techada,2Estacionamientos,No hay informacion,5Dormitorios,13Antigüedad,No hay informacion,No hay informacion,"S/ 630,800",150,https://urbania.pe/inmueble/venta-de-casa-en-lurin-lima-5-a-mas-dormitorios-13090045,https://img10.naventcdn.com/avisos/111/00/13/09/00/45/720x532/192639453.jpg
47,"Higuereta,  Lima, Lima",No hay informacion,No hay informacion,No hay informacion,1Medio baño,5Dormitorios,35Antigüedad,No hay informacion,No hay informacion,"S/ 1,536,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-lima-5-a-mas-dormitorios-58219515,https://img10.naventcdn.com/avisos/111/00/58/21/95/15/720x532/209805983.jpg
48," Miraflores, Lima",311m²Superficie total,311m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,46Antigüedad,No hay informacion,No hay informacion,"S/ 1,749,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-miraflores-lima-4-dormitorios-58140096,https://img10.naventcdn.com/avisos/111/00/58/14/00/96/720x532/208564139.jpg
49," Chosica (Lurigancho), Lima",161m²Superficie total,161m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,9Antigüedad,No hay informacion,No hay informacion,"S/ 519,250",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-chosica-lurigancho-lima-4-dormitorios-58106967,https://img10.naventcdn.com/avisos/111/00/58/10/69/67/720x532/208042472.jpg
50," Alameda 2, La Molina",220m²Superficie total,160m²Superficie techada,2Estacionamientos,1Medio baño,4Dormitorios,12Antigüedad,No hay informacion,No hay informacion,"S/ 1,062,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-alameda-2-la-molina-4-dormitorios-12825336,https://img10.naventcdn.com/avisos/111/00/12/82/53/36/720x532/185758180.jpg
51," Lurín, Lima",249m²Superficie total,240m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,1Antigüedad,No hay informacion,No hay informacion,"S/ 363,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lurin-lima-4-dormitorios-58298500,https://img10.naventcdn.com/avisos/111/00/58/29/85/00/720x532/211022217.jpg
52," Santiago de Surco, Lima",2571m²Superficie total,764m²Superficie techada,8Estacionamientos,No hay informacion,5Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"S/ 13,700,000","1,200",https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-5-a-mas-dormitorios-58054273,https://img10.naventcdn.com/avisos/111/00/58/05/42/73/720x532/207243424.jpg
53,"BARANDEARAN,  La Planicie, La Molina",527m²Superficie total,340m²Superficie techada,0Estacionamientos,No hay informacion,3Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 2,257,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-3-dormitorios-13283989,https://img10.naventcdn.com/avisos/111/00/13/28/39/89/720x532/196946580.jpg
54,"Jr. El Sol de la Molina,  La Molina, Lima",357m²Superficie total,357m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,35Antigüedad,No hay informacion,No hay informacion,"S/ 1,732,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-4-dormitorios-58233453,https://img10.naventcdn.com/avisos/111/00/58/23/34/53/720x532/210037653.jpg
55,"Rincon de la planicie 5,  La Planicie, La Molina",1396m²Superficie total,397m²Superficie techada,4Estacionamientos,No hay informacion,3Dormitorios,5Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,589,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-3-dormitorios-13400108,https://img10.naventcdn.com/avisos/111/00/13/40/01/08/720x532/199316799.jpg
56,"Calle Hassinger,  Coricancha, San Borja",467m²Superficie total,320m²Superficie techada,2Estacionamientos,No hay informacion,3Dormitorios,25Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,158,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-coricancha-san-borja-3-dormitorios-13424894,https://img10.naventcdn.com/avisos/111/00/13/42/48/94/720x532/199888301.jpg
57," Rinconada Baja, La Molina",700m²Superficie total,428m²Superficie techada,3Estacionamientos,No hay informacion,3Dormitorios,9Antigüedad,No hay informacion,No hay informacion,"S/ 4,648,000",320,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-baja-la-molina-3-dormitorios-13415932,https://img10.naventcdn.com/avisos/111/00/13/41/59/32/720x532/199621683.jpg
58,"EL Rincón DE LA Planicie,  Lima, Lima",No hay informacion,No hay informacion,No hay informacion,1Medio baño,4Dormitorios,15Antigüedad,No hay informacion,No hay informacion,"S/ 2,535,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-lima-4-dormitorios-58219701,https://img10.naventcdn.com/avisos/111/00/58/21/97/01/720x532/209808119.jpg
59,"Calle Los Alamos. Urb. La Planicie - La Molina,  La Planicie, La Molina",650m²Superficie total,545m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 4,150,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-4-dormitorios-13091600,https://img10.naventcdn.com/avisos/111/00/13/09/16/00/720x532/192672844.jpg
60," La Encantada De Villa, Chorrillos",895m²Superficie total,500m²Superficie techada,0Estacionamientos,1Medio baño,4Dormitorios,10Antigüedad,No hay informacion,No hay informacion,"S/ 2,988,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-encantada-de-villa-chorrillos-4-dormitorios-13135299,https://img10.naventcdn.com/avisos/111/00/13/13/52/99/720x532/193616586.jpg
61," Carabayllo, Lima",160m²Superficie total,160m²Superficie techada,0Estacionamientos,No hay informacion,5Dormitorios,15Antigüedad,No hay informacion,No hay informacion,"S/ 163,200",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-carabayllo-lima-5-a-mas-dormitorios-58255979,https://img10.naventcdn.com/avisos/111/00/58/25/59/79/720x532/210399530.jpg
62," El Cuadro, Chaclacayo",154m²Superficie total,144m²Superficie techada,No hay informacion,No hay informacion,3Dormitorios,23Antigüedad,No hay informacion,No hay informacion,"S/ 457,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-cuadro-chaclacayo-3-dormitorios-58339754,https://img10.naventcdn.com/avisos/111/00/58/33/97/54/720x532/211662558.jpg
63," Miraflores, Lima",380m²Superficie total,380m²Superficie techada,2Estacionamientos,1Medio baño,5Dormitorios,20Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,859,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-miraflores-lima-5-a-mas-dormitorios-13503370,https://img10.naventcdn.com/avisos/111/00/13/50/33/70/720x532/201536721.jpg
64,"Jr. el Paraiso ID 133931,  El Sol De La Molina, La Molina",333m²Superficie total,269m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,10Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,693,200",540,https://urbania.pe/inmueble/venta-de-casa-en-el-sol-de-la-molina-la-molina-4-dormitorios-13484750,https://img10.naventcdn.com/avisos/111/00/13/48/47/50/720x532/201144723.jpg
65," San Miguel, Lima",330m²Superficie total,220m²Superficie techada,2Estacionamientos,No hay informacion,6Dormitorios,40Antigüedad,Parque Interno ,No hay informacion,"S/ 1,088,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-miguel-lima-5-a-mas-dormitorios-58157165,https://img10.naventcdn.com/avisos/111/00/58/15/71/65/720x532/208803244.jpg
66,"Higuereta,  Lima, Lima",No hay informacion,No hay informacion,No hay informacion,No hay informacion,4Dormitorios,30Antigüedad,No hay informacion,No hay informacion,"S/ 1,491,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-lima-4-dormitorios-58219534,https://img10.naventcdn.com/avisos/111/00/58/21/95/34/720x532/209806401.jpg
67,"Calle 9,  Casa Blanca, Pachacamac",2190m²Superficie total,440m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,2Antigüedad,No hay informacion,No hay informacion,"S/ 1,963,035",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-casa-blanca-pachacamac-5-a-mas-dormitorios-58218815,https://img10.naventcdn.com/avisos/111/00/58/21/88/15/720x532/209794227.jpg
68,"Calle Hidalguia,  Los Olivos, Lima",421m²Superficie total,421m²Superficie techada,No hay informacion,No hay informacion,7Dormitorios,18Antigüedad,No hay informacion,No hay informacion,"S/ 1,332,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-los-olivos-lima-5-a-mas-dormitorios-58108540,https://img10.naventcdn.com/avisos/111/00/58/10/85/40/720x532/208067098.jpg
69,"MONTERRICO / LINDA CASA,  Monterrico, Santiago de Surco",67m²Superficie total,179m²Superficie techada,No hay informacion,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 913,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-monterrico-santiago-de-surco-4-dormitorios-13419519,https://img10.naventcdn.com/avisos/111/00/13/41/95/19/720x532/199717679.jpg
