,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
0," Santiago de Surco, Lima",225m²Superficie total,225m²Superficie techada,2Estacionamientos,1Medio baño,4Dormitorios,40Antigüedad,No hay informacion,No hay informacion,"S/ 1,265,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-57859546,https://img10.naventcdn.com/avisos/111/00/57/85/95/46/720x532/203943998.jpg
1,"AV. LOS Fresnos,  Lima, Lima",No hay informacion,No hay informacion,No hay informacion,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 1,217,010",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-lima-4-dormitorios-58219543,https://img10.naventcdn.com/avisos/111/00/58/21/95/43/720x532/209806537.jpg
2," Pucusana, Lima",680m²Superficie total,650m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,2Antigüedad,No hay informacion,No hay informacion,"S/ 3,253,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pucusana-lima-5-a-mas-dormitorios-13481052,https://img10.naventcdn.com/avisos/111/00/13/48/10/52/720x532/201058872.jpg
3," Lima Cercado, Lima",200m²Superficie total,200m²Superficie techada,0Estacionamientos,No hay informacion,0Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 1,209,845",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-cercado-lima-58364594,https://img10.naventcdn.com/avisos/111/00/58/36/45/94/720x532/212121026.jpg
4,"JR CONDORCANQUI ,  Carabayllo, Lima",342m²Superficie total,210m²Superficie techada,No hay informacion,No hay informacion,7Dormitorios,7Antigüedad,No hay informacion,No hay informacion,"S/ 324,950",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-carabayllo-lima-5-a-mas-dormitorios-58180355,https://img10.naventcdn.com/avisos/111/00/58/18/03/55/720x532/209185898.jpg
5,"La Cima 114,  Santiago de Surco, Lima",1526m²Superficie total,639m²Superficie techada,4Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 8,632,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-13020061,https://img10.naventcdn.com/avisos/111/00/13/02/00/61/720x532/192761460.jpg
6,"AVENIDA CAMINO REAL,  Carabayllo, Lima",112m²Superficie total,112m²Superficie techada,0Estacionamientos,No hay informacion,3Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 215,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-carabayllo-lima-3-dormitorios-13103196,https://img10.naventcdn.com/avisos/111/00/13/10/31/96/720x532/192922966.jpg
7,"calle Bellavista 2 Casuarinas,  Santiago de Surco, Lima",1306m²Superficie total,461m²Superficie techada,5Estacionamientos,No hay informacion,4Dormitorios,4Antigüedad,No hay informacion,No hay informacion,"S/ 5,171,760",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-13479382,https://img10.naventcdn.com/avisos/111/00/13/47/93/82/720x532/201202370.jpg
8,"LOS EUCALIPTOS cdra. 1,  Santiago de Surco, Lima",950m²Superficie total,510m²Superficie techada,5Estacionamientos,No hay informacion,0Dormitorios,32Antigüedad,No hay informacion,No hay informacion,"S/ 8,300,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-58096604,https://img10.naventcdn.com/avisos/111/00/58/09/66/04/720x532/207893535.jpg
9,"LA LAGUNA-cv.271119,  La Molina, Lima",1414m²Superficie total,600m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 4,648,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-13493725,https://img10.naventcdn.com/avisos/111/00/13/49/37/25/720x532/203445946.jpg
