,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
234,"MONTERRICO / LINDA CASA,  Monterrico, Santiago de Surco",67m²Superficie total,179m²Superficie techada,No hay informacion,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 913,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-monterrico-santiago-de-surco-4-dormitorios-13419519,https://img10.naventcdn.com/avisos/111/00/13/41/95/19/720x532/199717679.jpg
235," Pueblo Libre, Lima",172m²Superficie total,172m²Superficie techada,2Estacionamientos,No hay informacion,6Dormitorios,55Antigüedad,No hay informacion,No hay informacion,"S/ 1,400,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pueblo-libre-lima-5-a-mas-dormitorios-58101771,https://img10.naventcdn.com/avisos/111/00/58/10/17/71/720x532/207966413.jpg
236," Lima Cercado, Lima",250m²Superficie total,250m²Superficie techada,6Estacionamientos,No hay informacion,3Dormitorios,28Antigüedad,No hay informacion,No hay informacion,"S/ 1,280,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-cercado-lima-3-dormitorios-13507668,https://img10.naventcdn.com/avisos/111/00/13/50/76/68/720x532/201732235.jpg
237,"Jiron Amarantos 6xx,  Los Olivos, Lima",260m²Superficie total,260m²Superficie techada,0Estacionamientos,1Medio baño,6Dormitorios,21Antigüedad,No hay informacion,No hay informacion,"S/ 910,350",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-los-olivos-lima-5-a-mas-dormitorios-58367555,https://img10.naventcdn.com/avisos/111/00/58/36/75/55/720x532/212169471.jpg
238,"VENDO AMPLIA CASA FRENTE A HERMOSO PARQUE EN UNA ZONA RESIDENCIAL,  Higuereta, Santiago de Surco",280m²Superficie total,160m²Superficie techada,No hay informacion,1Medio baño,3Dormitorios,18Antigüedad,No hay informacion,No hay informacion,"S/ 1,165,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-higuereta-santiago-de-surco-3-dormitorios-12290052,https://img10.naventcdn.com/avisos/111/00/12/29/00/52/720x532/177898615.jpg
239," Andres Avelino Caceres, San Juan de Lurigancho",150m²Superficie total,60m²Superficie techada,0Estacionamientos,No hay informacion,3Dormitorios,7Antigüedad,No hay informacion,No hay informacion,"S/ 260,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-andres-avelino-caceres-san-juan-de-lurigancho-3-dormitorios-58214134,https://img10.naventcdn.com/avisos/111/00/58/21/41/34/720x532/209714488.jpg
240,"AV GUARDIA PERUANA 944,  Chorrillos, Lima",111m²Superficie total,111m²Superficie techada,No hay informacion,1Medio baño,4Dormitorios,10Antigüedad,Parque Interno ,No hay informacion,"S/ 450,900",120,https://urbania.pe/inmueble/venta-de-casa-en-chorrillos-lima-4-dormitorios-58039179,https://img10.naventcdn.com/avisos/111/00/58/03/91/79/720x532/207004059.jpg
241,"Calle Domeyer 1XX,  Barranco, Lima",108m²Superficie total,108m²Superficie techada,0Estacionamientos,No hay informacion,2Dormitorios,100Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,128,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-barranco-lima-2-dormitorios-13306980,https://img10.naventcdn.com/avisos/111/00/13/30/69/80/720x532/197498837.jpg
242,"JR TAMBO REAL,  El Sol De Matellini, Chorrillos",45m²Superficie total,140m²Superficie techada,0Estacionamientos,No hay informacion,5Dormitorios,2Antigüedad,No hay informacion,No hay informacion,"S/ 498,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-sol-de-matellini-chorrillos-5-a-mas-dormitorios-13453670,https://img10.naventcdn.com/avisos/111/00/13/45/36/70/720x532/200515590.jpg
243,"AV. LOS Fresnos,  Lima, Lima",No hay informacion,No hay informacion,No hay informacion,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 1,217,010",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lima-lima-4-dormitorios-58219543,https://img10.naventcdn.com/avisos/111/00/58/21/95/43/720x532/209806537.jpg
244,"CALLE LOS SAUCES 100,  San Borja, Lima",328m²Superficie total,276m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,13Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,145,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-borja-lima-5-a-mas-dormitorios-13427268,https://img10.naventcdn.com/avisos/111/00/13/42/72/68/720x532/199964831.jpg
245,"Av. Canevaro 2,  San Juan de Miraflores, Lima",264m²Superficie total,264m²Superficie techada,No hay informacion,No hay informacion,6Dormitorios,32Antigüedad,No hay informacion,No hay informacion,"S/ 715,950",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-juan-de-miraflores-lima-5-a-mas-dormitorios-57864733,https://img10.naventcdn.com/avisos/111/00/57/86/47/33/720x532/204021921.jpg
246,"Jiron la cima 398,  Las Casuarinas Alta, Santiago de Surco",1844m²Superficie total,675m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,15Antigüedad,No hay informacion,No hay informacion,"S/ 8,580,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-las-casuarinas-alta-santiago-de-surco-5-a-mas-dormitorios-13352186,https://img10.naventcdn.com/avisos/111/00/13/35/21/86/720x532/198451754.jpg
247,"Avenida Salaverry cuadra 8,  Jesús María, Lima",276m²Superficie total,276m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,80Antigüedad,No hay informacion,No hay informacion,"S/ 3,104,200",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-jesus-maria-lima-5-a-mas-dormitorios-13297740,https://img10.naventcdn.com/avisos/111/00/13/29/77/40/720x532/197282321.jpg
248,"Calle Contumaza,  La Florida, Puente Piedra",120m²Superficie total,120m²Superficie techada,0Estacionamientos,No hay informacion,3Dormitorios,30Antigüedad,No hay informacion,No hay informacion,"S/ 245,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-florida-puente-piedra-3-dormitorios-58245472,https://img10.naventcdn.com/avisos/111/00/58/24/54/72/720x532/210228928.jpg
