,Ubicacion,Metros cuadrados,Metros cuadrados techados,Parqueo,Medio baños,Dormitorios,Antiguedad del edificio,Parque cercano,Piso en el que se encuentra,Venta,Mantenimiento,Link Pagina,Link imagen
0,"Calle. El Rincón,  La Planicie, La Molina",617m²Superficie total,400m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,1Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,660,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-5-a-mas-dormitorios-13269010,https://img10.naventcdn.com/avisos/111/00/13/26/90/10/720x532/196611551.jpg
1,"SANTA CATALINA EN PLENA AV. CANADA CON AV. DEL AIRE,  La Victoria, Lima",400m²Superficie total,400m²Superficie techada,2Estacionamientos,No hay informacion,8Dormitorios,30Antigüedad,No hay informacion,No hay informacion,"S/ 1,656,680",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-victoria-lima-5-a-mas-dormitorios-58025403,https://img10.naventcdn.com/avisos/111/00/58/02/54/03/720x532/206786835.jpg
2," San Isidro, Lima",544m²Superficie total,544m²Superficie techada,4Estacionamientos,No hay informacion,3Dormitorios,70Antigüedad,No hay informacion,No hay informacion,"S/ 4,329,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-isidro-lima-3-dormitorios-57992642,https://img10.naventcdn.com/avisos/111/00/57/99/26/42/720x532/206291202.jpg
3," San Martín de Porres, Lima",632m²Superficie total,150m²Superficie techada,0Estacionamientos,No hay informacion,12Dormitorios,15Antigüedad,No hay informacion,No hay informacion,"S/ 563,200",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-martin-de-porres-lima-5-a-mas-dormitorios-58340281,https://img10.naventcdn.com/avisos/111/00/58/34/02/81/720x532/211670841.jpg
4,"CLUB DE LA PLANICIE-CV.240119,  La Planicie, La Molina",1500m²Superficie total,400m²Superficie techada,5Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 3,984,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-4-dormitorios-13231408,https://img10.naventcdn.com/avisos/111/00/13/23/14/08/720x532/195746697.jpg
5,"RINCONADA DEL LAGO ONTARIO-CV.311019,  Rinconada Del Lago, La Molina",303m²Superficie total,374m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 2,453,480",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-del-lago-la-molina-4-dormitorios-13455159,https://img10.naventcdn.com/avisos/111/00/13/45/51/59/720x532/201374057.jpg
6,"SOL DE LA MOLINA,  La Molina, Lima",355m²Superficie total,330m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 2,022,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-4-dormitorios-57825273,https://img10.naventcdn.com/avisos/111/00/57/82/52/73/720x532/203444191.jpg
7,"Av. Reusche Mz R Lt 11,  Pachacamac, Lima",2560m²Superficie total,350m²Superficie techada,5Estacionamientos,No hay informacion,3Dormitorios,20Antigüedad,No hay informacion,No hay informacion,"S/ 1,550,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-pachacamac-lima-3-dormitorios-58432200,https://img10.naventcdn.com/avisos/111/00/58/43/22/00/720x532/213603042.jpg
8," Sol De La Molina, La Molina",445m²Superficie total,445m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,8Antigüedad,No hay informacion,No hay informacion,"S/ 1,258,000",250,https://urbania.pe/inmueble/venta-de-casa-en-sol-de-la-molina-la-molina-5-a-mas-dormitorios-58450887,https://img10.naventcdn.com/avisos/111/00/58/45/08/87/720x532/213929144.jpg
9,"JR MONTEVIDEO 200,  Ate Vitarte, Lima",304m²Superficie total,304m²Superficie techada,No hay informacion,No hay informacion,7Dormitorios,10Antigüedad,Parques Cercanos ,No hay informacion,"S/ 617,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-ate-vitarte-lima-5-a-mas-dormitorios-57843116,https://img10.naventcdn.com/avisos/111/00/57/84/31/16/720x532/203704640.jpg
10," San Isidro, Lima",650m²Superficie total,650m²Superficie techada,3Estacionamientos,No hay informacion,5Dormitorios,40Antigüedad,No hay informacion,No hay informacion,"S/ 4,178,800",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-san-isidro-lima-5-a-mas-dormitorios-58081585,https://img10.naventcdn.com/avisos/111/00/58/08/15/85/720x532/207670423.jpg
11,"Lunahuana,  Lunahuana, Cañete",2700m²Superficie total,500m²Superficie techada,5Estacionamientos,1Medio baño,6Dormitorios,3Antigüedad,No hay informacion,No hay informacion,"S/ 1,458,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-lunahuana-canete-5-a-mas-dormitorios-13478859,https://img10.naventcdn.com/avisos/111/00/13/47/88/59/720x532/214068800.jpg
12,"Calle Enrique Villar,  Santa Beatriz, Lima Cercado",267m²Superficie total,267m²Superficie techada,0Estacionamientos,1Medio baño,5Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 1,679,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santa-beatriz-lima-cercado-5-a-mas-dormitorios-13510630,https://img10.naventcdn.com/avisos/111/00/13/51/06/30/720x532/201713877.jpg
13,"av rinconada del lago 570,  Rinconada Del Lago, La Molina",1376m²Superficie total,465m²Superficie techada,4Estacionamientos,No hay informacion,5Dormitorios,35Antigüedad,No hay informacion,No hay informacion,"S/ 4,896,500",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-rinconada-del-lago-la-molina-5-a-mas-dormitorios-13507108,https://img10.naventcdn.com/avisos/111/00/13/50/71/08/720x532/201620270.jpg
14,"Calle La Meseta, La Planicie - KRISNA SMITH,  La Planicie, La Molina",340m²Superficie total,280m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,22Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,553,080",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-4-dormitorios-13443473,https://img10.naventcdn.com/avisos/111/00/13/44/34/73/720x532/200336035.jpg
15,"Calle. El Rincón 400,  La Planicie, La Molina",464m²Superficie total,431m²Superficie techada,2Estacionamientos,No hay informacion,4Dormitorios,1Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,377,395",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-4-dormitorios-13368243,https://img10.naventcdn.com/avisos/111/00/13/36/82/43/720x532/198689157.jpg
16," El Haras, La Molina",450m²Superficie total,250m²Superficie techada,2Estacionamientos,No hay informacion,3Dormitorios,5Antigüedad,No hay informacion,No hay informacion,"S/ 1,656,200",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-el-haras-la-molina-3-dormitorios-13239545,https://img10.naventcdn.com/avisos/111/00/13/23/95/45/720x532/198742853.jpg
17,"LA ESTANCIA ,  La Molina, Lima",1050m²Superficie total,600m²Superficie techada,5Estacionamientos,No hay informacion,5Dormitorios,A estrenarAntigüedad,No hay informacion,No hay informacion,"S/ 6,403,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-5-a-mas-dormitorios-57825381,https://img10.naventcdn.com/avisos/111/00/57/82/53/81/720x532/203445726.jpg
18," Santa Rosa De Surco, Santiago de Surco",300m²Superficie total,181m²Superficie techada,0Estacionamientos,No hay informacion,4Dormitorios,11Antigüedad,No hay informacion,No hay informacion,"S/ 1,261,600",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santa-rosa-de-surco-santiago-de-surco-4-dormitorios-13493816,https://img10.naventcdn.com/avisos/111/00/13/49/38/16/720x532/201333109.jpg
19,"Carlos Tenaud 118,  Santiago de Surco, Lima",297m²Superficie total,290m²Superficie techada,2Estacionamientos,1Medio baño,4Dormitorios,39Antigüedad,No hay informacion,No hay informacion,"S/ 1,658,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-santiago-de-surco-lima-4-dormitorios-58069967,https://img10.naventcdn.com/avisos/111/00/58/06/99/67/720x532/208562329.jpg
20," La Molina, Lima",301m²Superficie total,232m²Superficie techada,3Estacionamientos,No hay informacion,4Dormitorios,10Antigüedad,No hay informacion,No hay informacion,"S/ 1,540,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-molina-lima-4-dormitorios-58324236,https://img10.naventcdn.com/avisos/111/00/58/32/42/36/720x532/211407291.jpg
21,"Clemente X,  Parques De Monterrico, Santiago de Surco",288m²Superficie total,255m²Superficie techada,2Estacionamientos,1Medio baño,4Dormitorios,4Antigüedad,Parques Cercanos ,No hay informacion,"S/ 1,382,700",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-parques-de-monterrico-santiago-de-surco-4-dormitorios-13511358,https://img10.naventcdn.com/avisos/111/00/13/51/13/58/720x532/201732495.jpg
22,"Calle. Lérida 170,  Mayorazgo, Ate Vitarte",260m²Superficie total,260m²Superficie techada,No hay informacion,1Medio baño,5Dormitorios,20Antigüedad,Parques Cercanos ,No hay informacion,"S/ 937,300",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-mayorazgo-ate-vitarte-5-a-mas-dormitorios-13290533,https://img10.naventcdn.com/avisos/111/00/13/29/05/33/720x532/197111994.jpg
23," La Fontana, La Molina",1050m²Superficie total,300m²Superficie techada,0Estacionamientos,No hay informacion,0Dormitorios,A estrenarAntigüedad,Parques Cercanos ,No hay informacion,"S/ 4,050,400",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-fontana-la-molina-13370248,https://img10.naventcdn.com/avisos/111/00/13/37/02/48/720x532/200055960.jpg
24,"Calle La Pradera,  La Planicie, La Molina",750m²Superficie total,420m²Superficie techada,4Estacionamientos,1Medio baño,5Dormitorios,2Antigüedad,Parques Cercanos ,No hay informacion,"S/ 2,800,000",No Mantenience,https://urbania.pe/inmueble/venta-de-casa-en-la-planicie-la-molina-5-a-mas-dormitorios-13220313,https://img10.naventcdn.com/avisos/111/00/13/22/03/13/720x532/195495228.jpg
